n, experimental_time_ns, theoretical_time, adjusted_theoretical_time
2,74500,8,0.2309027777777778
10,7500,1000,28.862847222222225
50,145291,125000,3607.855902777778
75,393708,421875,12176.513671875
100,381375,1000000,28862.847222222223
200,1149167,8000000,230902.77777777778
225,1668708,11390625,328765.869140625
400,3236708,64000000,1847222.2222222222
450,2711500,91125000,2630126.953125
500,3674334,125000000,3607855.902777778
600,4942834,216000000,6234375.0
750,12356042,421875000,1.2176513671875E7
800,14583708,512000000,1.4777777777777778E7
1200,49907417,1728000000,4.9875E7
1600,115943541,4096000000,1.1822222222222222E8
1800,162689958,5832000000,1.68328125E8
2200,297916791,10648000000,3.073315972222222E8
2400,389254750,13824000000,3.99E8
4000,1788468667,64000000000,1.8472222222222223E9
6000,6080207333,216000000000,6.234375E9
8000,14503868625,512000000000,1.4777777777777779E10
